Name,DrugBank ID,Type,Categories,Has Dosing,Frequency,Times Per Day,Routes,Interaction Count,Food Interaction Count,Has Description,Groups
Darbepoetin alfa,,biotech,"Amino Acids, Peptides, and Proteins; Antianemic Preparations; Blood and Blood Forming Organs; Carbohydrates; Colony-Stimulating Factors; Erythropoiesis-Stimulating Agents; Glycoconjugates; Glycoproteins; Hematinics; Hematologic Agents; Hematopoietic Cell Growth Factors; Increased Erythroid Cell Production; Proteins",No,,,,0,1,Yes,approved; investigational
Urokinase,,biotech,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs; Blood Proteins; Endopeptidases; Enzymes; Enzymes and Coenzymes; Fibrinolytic Agents; Hydrolases; Increased Thrombolysis; Peptide Hydrolases; Plasminogen Activators; Proteins; Serine Endopeptidases; Serine Proteases; Urokinase-Type Plasminogen Activator, antagonists & inhibitors",No,,,,0,1,Yes,approved; investigational; withdrawn
Goserelin,,small molecule,"Adrenal Cortex Hormones; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal; Antineoplastic and Immunomodulating Agents; Drugs that are Mainly Renally Excreted; Endocrine Therapy; Gonadotropin Releasing Hormone Receptor Agonist; Gonadotropin Releasing Hormone Receptor Agonists; Gonadotropin-releasing hormone agonist; Gonadotropins and Antigonadotropins; Hormones; Hormones and Related Agents; Hormones, Hormone Substitutes, and Hormone Antagonists; Hyperglycemia-Associated Agents; Hypothalamic Hormones; Miscellaneous Therapeutic Agents; Moderate Risk QTc-Prolonging Agents; Nerve Tissue Proteins; Neuropeptides; Oligopeptides; Peptide Hormones; Peptides; Pituitary Hormone-Releasing Hormones; QTc Prolonging Agents",No,,,,0,0,Yes,approved
Reteplase,,biotech,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs; Blood Proteins; Cardiovascular Agents; Endopeptidases; Enzymes; Enzymes and Coenzymes; Fibrin Modulating Agents; Fibrinolytic Agents; Hematologic Agents; Hydrolases; Peptide Hydrolases; Plasminogen Activators; Proteins; Serine Endopeptidases; Serine Proteases; Tissue Plasminogen Activator",No,,,,0,1,Yes,approved; investigational
Erythropoietin,,biotech,"Amino Acids, Peptides, and Proteins; Antianemic Preparations; Biological Factors; Blood and Blood Forming Organs; Carbohydrates; Colony-Stimulating Factors; Cytokines; Erythropoiesis-Stimulating Agents; Erythropoietin, genetics; Glycoconjugates; Glycoproteins; Hematinics; Hematologic Agents; Hematopoietic Cell Growth Factors; Increased Erythroid Cell Production; Intercellular Signaling Peptides and Proteins; Peptides; Proteins",No,,,,0,1,Yes,approved
Salmon calcitonin,,biotech,"Amino Acids, Peptides, and Proteins; Bone Density Conservation Agents; Bone Density, drug effects; Calcitonin Preparations; Calcium Homeostasis; Calcium-Regulating Hormones and Agents; Drugs that are Mainly Renally Excreted; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Nerve Tissue Proteins; Neuropeptides; Parathyroid and Antiparathyroid Agents; Parathyroid Hormones and Analogues; Peptide Hormones; Peptides; Proteins; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; Thyroid Products",No,,,,0,2,Yes,approved; investigational
Interferon alfa-n3,,biotech,"Alfa Interferons; Amino Acids, Peptides, and Proteins; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Immunosuppressive Agents; Intercellular Signaling Peptides and Proteins; Interferon alpha; Interferon Type I; Interferon-alpha; Interferons; Myelosuppressive Agents; Peptides; Proteins",No,,,,0,0,Yes,approved; investigational
Pegfilgrastim,,biotech,"Adjuvants, Immunologic; Alcohols; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Carbohydrates; Colony-Stimulating Factors; Compounds used in a research, industrial, or household setting; Cytokines; Ethylene Glycols; Glycoconjugates; Glycols; Glycoproteins; Granulocyte Colony-Stimulating Factors; Hematinics; Hematopoietic Cell Growth Factors; Increased Myeloid Cell Production; Intercellular Signaling Peptides and Proteins; Leukocyte Growth Factor; Macromolecular Substances; Pegylated agents; Peptides; Polymers; Proteins",No,,,,0,0,Yes,approved
Sargramostim,,biotech,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Carbohydrates; Colony-Stimulating Factors; Cytokines; Glycoconjugates; Glycoproteins; Granulocyte-Macrophage Colony-Stimulating Factor; Hematopoietic Cell Growth Factors; Immunologic Factors; Increased Myeloid Cell Production; Intercellular Signaling Peptides and Proteins; Leukocyte Growth Factor; Peptides; Proteins",No,,,,0,0,Yes,approved; investigational
Peginterferon alfa-2b,,biotech,"Adjuvants, Immunologic; Alcohols; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors; Cancer immunotherapy; Compounds used in a research, industrial, or household setting; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 CYP2C9 Inducers; Cytochrome P-450 CYP2C9 Inducers (weak); Cytochrome P-450 CYP2D6 Inhibitors; Cytochrome P-450 CYP2D6 Inhibitors (weak); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Enzyme Inhibitors; Cytokines; Drug Carriers; Ethylene Glycols; Glycols; Hepatitis C; Immunosuppressive Agents; Immunotherapy; Intercellular Signaling Peptides and Proteins; Interferon alpha; Interferon Type I; Interferon-alpha; Interferons; Macromolecular Substances; Myelosuppressive Agents; Pegylated agents; Peptides; Polymers; Proteins; Treatments for Hepatitis C",No,,,,0,1,Yes,approved
Asparaginase Escherichia coli,,biotech,Amidohydrolases; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Asparaginase; Asparagine-specific Enzyme; Enzymes; Enzymes and Coenzymes; Hydrolases; Narrow Therapeutic Index Drugs; Thyroxine-binding globulin inhibitors,No,,,,0,0,Yes,approved; investigational
Thyrotropin alfa,,biotech,"Agents used to treat hypothyroidism; Anterior Pituitary Lobe Hormones and Analogues; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Peptide Hormones; Pituitary and Hypothalamic Hormones and Analogues; Pituitary Hormones; Pituitary Hormones, Anterior; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; Thyroid Products",No,,,,0,0,Yes,approved; vet_approved
"Antihemophilic factor, human recombinant",,biotech,"Amino Acids, Peptides, and Proteins; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factors; Blood Proteins; Carbohydrates; Disaccharides; Hemophilia A; Hemostatics; Human Antihemophilic Factors; Increased Coagulation Activity; Oligosaccharides; Polysaccharides; Protein Precursors; Proteins",No,,,,0,0,Yes,approved; investigational
Anakinra,,biotech,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antirheumatic Agents; Biological Factors; Biologics for Rheumatoid Arthritis Treatment; Cytokines; Disease-modifying Antirheumatic Agents; Immunosuppressive Agents; Immunotherapy; Intercellular Signaling Peptides and Proteins; Interleukin Inhibitors; Interleukin-1 Receptor Antagonist; Peptides; Proteins",No,,,,0,0,Yes,approved; investigational
Gramicidin D,,small molecule,"Amino Acids, Peptides, and Proteins; Anti-Bacterial Agents; Anti-Infective Agents; Anti-Infective Agents, Local; Membrane Proteins; P-glycoprotein inhibitors; P-glycoprotein substrates; Peptides; Peptides, Cyclic; Pore Forming Cytotoxic Proteins; Proteins; Throat Preparations",No,,,,0,0,Yes,approved
Human immunoglobulin G,,biotech,"Amino Acids, Peptides, and Proteins; Antibodies; Antigen Neutralization; Blood Proteins; Globulins; Human Immunoglobulin G; Immunoglobulin G; Immunoglobulin Isotypes; Immunoglobulins; Immunoglobulins, Intravenous; Immunologic Factors; Immunoproteins; Passively Acquired Immunity; Proteins; Serum; Serum Globulins",No,,,,0,0,Yes,approved; investigational
Anistreplase,,biotech,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins; Cardiovascular Agents; Endopeptidases; Enzymes; Enzymes and Coenzymes; Fibrin Modulating Agents; Fibrinolytic Agents; Hematologic Agents; Hydrolases; Peptide Hydrolases; Plasminogen Activators; Proteins; Serine Endopeptidases; Serine Proteases",No,,,,0,1,Yes,approved
Insulin human,,biotech,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Blood Glucose Lowering Agents; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown); Cytochrome P-450 Enzyme Inducers; Drugs Used in Diabetes; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Hypoglycemia-Associated Agents; Insulin; Insulin, metabolism; Insulin, Short-Acting; Insulins and Analogues for Injection, Fast-Acting; Pancreatic Hormones; Peptide Hormones; Peptides",No,,,,0,1,Yes,approved; investigational
Tenecteplase,,biotech,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs; Blood Proteins; Cardiovascular Agents; Endopeptidases; Enzymes; Enzymes and Coenzymes; Fibrin Modulating Agents; Fibrinolytic Agents; Hematologic Agents; Hydrolases; Peptide Hydrolases; Plasminogen Activators; Proteins; Serine Endopeptidases; Serine Proteases; Tissue Plasminogen Activator",No,,,,0,1,Yes,approved
Menotropins,,biotech,"Amino Acids, Peptides, and Proteins; Biological Products; Complex Mixtures; Fertility Agents; Fertility Agents, Female; Genito Urinary System and Sex Hormones; Gonadotropins; Gonadotropins and Antigonadotropins; Gonadotropins, Pituitary; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Peptide Hormones; Peptides; Pituitary Hormones; Pituitary Hormones, Anterior; Reproductive Control Agents; Sex Hormones and Modulators of the Genital System",No,,,,0,0,Yes,approved
Interferon gamma-1b,,biotech,"Amino Acids, Peptides, and Proteins; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Immunosuppressive Agents; Intercellular Signaling Peptides and Proteins; Interferon gamma; Interferons; Lymphokines; Macrophage-Activating Factors; Myelosuppressive Agents; Peptides; Proteins",No,,,,0,1,Yes,approved; investigational
Interferon alfa-2a,,biotech,"Adjuvants, Immunologic; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors; Cancer immunotherapy; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Immunosuppressive Agents; Immunotherapy; Intercellular Signaling Peptides and Proteins; Interferon alpha; Interferon Type I; Interferon-alpha; Interferons; Myelosuppressive Agents; Peptides; Proteins",No,,,,0,1,Yes,approved; investigational
Desmopressin,,small molecule,"Agents that produce hypertension; Amino Acids, Peptides, and Proteins; Antidiuretic Agents; Arginine Vasopressin; Cardiovascular Agents; Coagulants; Drugs that are Mainly Renally Excreted; Factor VIII Activator; Hematologic Agents; Hemostatics; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Increased Coagulation Factor VIII Activity; Increased Coagulation Factor VIII Concentration; Natriuretic Agents; Nerve Tissue Proteins; Neuropeptides; Oligopeptides; Peptide Hormones; Peptides; Pituitary; Pituitary and Hypothalamic Hormones and Analogues; Pituitary Hormones; Pituitary Hormones, Posterior; Posterior Pituitary Lobe Hormones; Proteins; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; Vasopressin Analog; Vasopressin and Analogues; Vasopressins",No,,,,0,0,Yes,approved
Coagulation factor VIIa Recombinant Human,,biotech,"Amino Acids, Peptides, and Proteins; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factors; Blood Proteins; Endopeptidases; Enzymes; Enzymes and Coenzymes; Factor VII; Factor VIIa, antagonists & inhibitors; Hemostatics; Hydrolases; Increased Coagulation Factor IX Activity; Increased Coagulation Factor X Activity; Peptide Hydrolases; Proteins; Serine Endopeptidases; Serine Proteases",No,,,,0,0,Yes,approved
Oprelvekin,,biotech,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Cytokines; Intercellular Signaling Peptides and Proteins; Interleukins; Megakaryocyte Growth Factor; Peptides; Proteins",No,,,,0,0,Yes,approved; investigational
Palifermin,,biotech,"Amino Acids, Peptides, and Proteins; Biological Factors; Detoxifying Agents for Antineoplastic Treatment; Fibroblast Growth Factors; Increased Epithelial Proliferation; Intercellular Signaling Peptides and Proteins; Mucocutaneous Epithelial Cell Growth Factor; Peptides; Proteins",No,,,,0,0,Yes,approved
Glucagon,,biotech,"Amino Acids, Peptides, and Proteins; Antihypoglycemic Agent; Decreased GI Motility; Decreased GI Smooth Muscle Tone; Decreased Glycolysis; Gastrointestinal Agents; Gastrointestinal Hormones; Gastrointestinal Motility Inhibitor; Glucagon, antagonists & inhibitors; Glycogenolytic Agents; Glycogenolytic Hormones; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Increased Gluconeogenesis; Increased Glycogenolysis; Pancreatic Hormones; Peptide Hormones; Peptides; Proglucagon; Protein Precursors; Proteins; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",No,,,,0,0,Yes,approved
Aldesleukin,,biotech,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Anti-HIV Agents; Anti-Infective Agents; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Biological Factors; Cancer immunotherapy; Cytochrome P-450 CYP2E1 Inhibitors; Cytochrome P-450 CYP2E1 Inhibitors (strength unknown); Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytokines; Drugs that are Mainly Renally Excreted; Hypotensive Agents; Immunosuppressive Agents; Immunotherapy; Increased Lymphocyte Activation; Increased Lymphocyte Cell Production; Intercellular Signaling Peptides and Proteins; Interleukins; Lymphocyte Growth Factor; Lymphokines; Myelosuppressive Agents; Narrow Therapeutic Index Drugs; Peptides; Proteins",No,,,,0,0,Yes,approved
Botulinum toxin type B,,biotech,"Acetylcholine Release Inhibitors; Agents that produce neuromuscular block (indirect); Amino Acids, Peptides, and Proteins; Amphibian Venoms; Anti-Dyskinesia Agents; Bacterial Proteins; Bacterial Toxins; Biological Factors; Botulinum Toxins; Central Nervous System Agents; Central Nervous System Depressants; Cholinergic Agents; Complex Mixtures; Endopeptidases; Enzymes; Enzymes and Coenzymes; Ganglion Blockers; Hydrolases; Membrane Transport Modulators; Metalloendopeptidases; Metalloproteases; Muscle Relaxants; Muscle Relaxants, Peripherally Acting Agents; Musculo-Skeletal System; Neurotoxins; Neurotransmitter Agents; Other Miscellaneous Therapeutic Agents; Peptide Hydrolases; Proteins; Toxins, Biological; Venoms",No,,,,0,0,Yes,approved; investigational
Omalizumab,,biotech,"Agents to Treat Airway Disease; Amino Acids, Peptides, and Proteins; Anti-Allergic Agents; Anti-Asthmatic Agents; Anti-IgE; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antigens; Biological Factors; Blood Proteins; Decreased IgE Activity; Globulins; IgE-directed Antibody Interactions; Immunoglobulins; Immunoproteins; Proteins; Respiratory Agents, Miscellaneous; Respiratory System Agents; Serum Globulins",No,,,,0,0,Yes,approved; investigational
Lutropin alfa,,biotech,Genito Urinary System and Sex Hormones; Gonadotropins; Gonadotropins and Antigonadotropins; Sex Hormones and Modulators of the Genital System,No,,,,0,0,Yes,approved
Lyme disease vaccine (recombinant OspA),,biotech,,No,,,,0,0,Yes,approved; withdrawn
Insulin lispro,,biotech,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Blood Glucose Lowering Agents; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown); Cytochrome P-450 Enzyme Inducers; Drugs Used in Diabetes; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Hypoglycemia-Associated Agents; Insulin; Insulin Analog; Insulin, Short-Acting; Insulins and Analogues for Injection, Fast-Acting; Pancreatic Hormones; Peptide Hormones; Peptides",No,,,,0,0,Yes,approved
Insulin glargine,,biotech,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Antimetabolites; Biological Products; Blood Glucose Lowering Agents; Complex Mixtures; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown); Cytochrome P-450 Enzyme Inducers; Drugs Used in Diabetes; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Hypoglycemia-Associated Agents; Hypolipidemic Agents; Insulin; Insulin Analog; Insulin, Long-Acting; Lipid Regulating Agents; Pancreatic Hormones; Peptide Hormones; Peptides",No,,,,0,0,Yes,approved
Collagenase clostridium histolyticum,,biotech,"Collagen-specific Enzyme; Collagenases; Dermatologicals; Endopeptidases; Enzymes; Enzymes and Coenzymes; Hydrolases; Metalloendopeptidases; Metalloproteases; Microbial Collagenase, antagonists & inhibitors; Misc. Skin and Mucous Membrane Agents; Musculo-Skeletal System; Peptide Hydrolases; Preparations for Treatment of Wounds and Ulcers",No,,,,0,0,Yes,approved; investigational
Rasburicase,,biotech,Antigout Preparations; Detoxifying Agents for Antineoplastic Treatment; Enzymes; Enzymes and Coenzymes; Methemoglobinemia Associated Agents; Musculo-Skeletal System; Oxidoreductases; Recombinant Proteins; Urate Oxidase; Uric Acid-specific Enzyme,No,,,,0,0,Yes,approved; investigational
Cetrorelix,,small molecule,"Amino Acids, Peptides, and Proteins; Anti-Gonadotropin-Releasing Hormones; Decreased GnRH Secretion; Fertility Agents; Fertility Agents, Female; Gonadotropin Releasing Hormone Receptor Antagonists; Gonadotropin-releasing Hormone Antagonists; Hormone Antagonists; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Hypothalamic Hormones; Nerve Tissue Proteins; Neuropeptides; Oligopeptides; Peptide Hormones; Peptides; Pituitary and Hypothalamic Hormones and Analogues; Pituitary Hormone-Releasing Hormones; Proteins; Reproductive Control Agents; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",No,,,,0,0,Yes,approved; investigational
Adalimumab,,biotech,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic and Immunomodulating Agents; Antirheumatic Agents; Biological Products; Biologics for Rheumatoid Arthritis Treatment; Blood Proteins; Disease-modifying Antirheumatic Agents; Globulins; Immunoglobulins; Immunoproteins; Immunosuppressive Agents; Miscellaneous GI Drugs; Proteins; Serum Globulins; Tumor necrosis factor alpha (TNF-alpha) inhibitors; Tumor Necrosis Factor Blockers; Tumor Necrosis Factor Receptor Blocking Activity",No,,,,0,0,Yes,approved; experimental
Somatotropin,,biotech,"Agents Causing Muscle Toxicity; Amino Acids, Peptides, and Proteins; Anterior Pituitary Lobe Hormones and Analogues; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown); Cytochrome P-450 CYP2C19 Inhibitors; Cytochrome P-450 CYP2C19 inhibitors (strength unknown); Cytochrome P-450 CYP2C19 Inhibitors (weak); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Enzyme Inhibitors; Growth Hormone; Growth Hormone, antagonists & inhibitors; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Human Growth Hormone, antagonists & inhibitors; P-glycoprotein substrates; Peptide Hormones; Peptides; Pituitary; Pituitary and Hypothalamic Hormones and Analogues; Pituitary Hormones; Pituitary Hormones, Anterior; Recombinant Human Growth Hormone; Somatotropin Agonists; Somatropin and Somatropin Agonists; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",No,,,,0,0,Yes,approved; investigational
Imiglucerase,,biotech,Alimentary Tract and Metabolism; Enzyme Replacement Therapy; Enzymes; Enzymes and Coenzymes; Gaucher Disease; Glucosidases; Glycoside Hydrolases; Hydrolases; Hydrolytic Lysosomal Glucocerebroside-specific Enzyme,No,,,,0,0,Yes,approved
Abciximab,,biotech,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Anticoagulants; Antiplatelet agents; Blood and Blood Forming Organs; Blood Proteins; Globulins; Glycoprotein IIb/IIIa Receptor-directed Monoclonal Antibodies; Hematologic Agents; Immunoglobulin Fab Fragments; Immunoglobulin Fragments; Immunoglobulins; Immunoproteins; Miscellaneous Therapeutic Agents; Peptide Fragments; Peptides; Platelet Aggregation Inhibitors Excl. Heparin; Proteins; Serum Globulins",No,,,,0,1,Yes,approved
Drotrecogin alfa,,biotech,"Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Anticoagulants; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factor Inhibitors; Blood Proteins; Carbohydrates; Enzyme Precursors; Enzymes; Enzymes and Coenzymes; Fibrinolytic Agents; Glycoconjugates; Glycoproteins; Protein Precursors; Proteins; Recombinant Activated Protein C",No,,,,0,1,Yes,approved; investigational; withdrawn
